"peak","time","overall","prevalence","theta_vir_beta","theta_vir_lambda","theta_vir_eta","sim"
0.000190680549061684,105.69,0.655946000707706,0.7,0.8,0.8,0.8,1
0.000186866019982523,107.05,0.650676179618934,0.71,0.8,0.8,0.8,1
0.000183206054382934,108.48,0.645539278546603,0.72,0.8,0.8,0.8,1
0.000179702282324501,109.98,0.640534131325264,0.73,0.8,0.8,0.8,1
0.000176350613818932,111.54,0.635653497569021,0.74,0.8,0.8,0.8,1
0.000173141693984358,113.16,0.630884809484521,0.75,0.8,0.8,0.8,1
0.000170061899960272,114.85,0.626211342430271,0.76,0.8,0.8,0.8,1
0.000167094621116137,116.59,0.621613680054764,0.77,0.8,0.8,0.8,1
0.000164221746296267,118.4,0.617071301989674,0.78,0.8,0.8,0.8,1
0.000161425067182364,120.27,0.612564106451021,0.79,0.8,0.8,0.8,1
0.000158687690334169,122.19,0.608073695337949,0.8,0.8,0.8,0.8,1
0.00015599490350432,124.18,0.603584293217034,0.81,0.8,0.8,0.8,1
0.000153334868529476,126.22,0.599083236192374,0.82,0.8,0.8,0.8,1
0.000150698679367789,128.33,0.594561040099943,0.83,0.8,0.8,0.8,1
0.000148080231161252,130.5,0.590011125217902,0.84,0.8,0.8,0.8,1
0.000145475743701107,132.74,0.585429322293082,0.85,0.8,0.8,0.8,1
0.000142883181478093,135.04,0.580813301413184,0.86,0.8,0.8,0.8,1
0.000140301753247918,137.42,0.576162048282192,0.87,0.8,0.8,0.8,1
0.000137731388718976,139.87,0.57147546956281,0.88,0.8,0.8,0.8,1
0.000135172555873198,142.38,0.566754156920363,0.89,0.8,0.8,0.8,1
0.00013262601908226,144.98,0.561999297278925,0.9,0.8,0.8,0.8,1
0.000130092834174478,147.65,0.557212696627391,0.91,0.8,0.8,0.8,1
0.000127574372073058,150.4,0.552396886622417,0.92,0.8,0.8,0.8,1
0.000125072384611929,153.23,0.547555297899491,0.93,0.8,0.8,0.8,1
0.000122589120128636,156.14,0.542692501419873,0.94,0.8,0.8,0.8,1
0.000120127482923699,159.13,0.537814534893243,0.95,0.8,0.8,0.8,1
0.000117691257803587,162.2,0.532929346919705,0.96,0.8,0.8,0.8,1
0.000115285437794266,165.35,0.528047411811569,0.97,0.8,0.8,0.8,1
0.000112916725132306,168.59,0.523182598777222,0.98,0.8,0.8,0.8,1
0.000110594175231099,171.9,0.518353438675077,0.99,0.8,0.8,0.8,1
0.000352404496011594,83.38,0.870467564013402,0,0.8,0.8,1,2
0.000351988235349876,83.43,0.87017170140898,0.01,0.8,0.8,1,2
0.000351559606351748,83.48,0.869866312817945,0.02,0.8,0.8,1,2
0.000351118057555944,83.53,0.869550970927025,0.03,0.8,0.8,1,2
0.000350663190539335,83.59,0.869225224485942,0.04,0.8,0.8,1,2
0.000350194237375701,83.65,0.868888596742066,0.05,0.8,0.8,1,2
0.0003497107482201,83.7,0.86854058376178,0.06,0.8,0.8,1,2
0.000349212029116752,83.76,0.868180652630735,0.07,0.8,0.8,1,2
0.000348697384520313,83.82,0.867808239523524,0.08,0.8,0.8,1,2
0.000348166224333313,83.89,0.867422747633663,0.09,0.8,0.8,1,2
0.000347617654909538,83.95,0.867023544953475,0.1,0.8,0.8,1,2
0.000347051018623812,84.02,0.866609961893338,0.11,0.8,0.8,1,2
0.000346465410220376,84.09,0.866181288729073,0.12,0.8,0.8,1,2
0.000345859968933715,84.16,0.865736772865599,0.13,0.8,0.8,1,2
0.000345233789382837,84.24,0.865275615904587,0.14,0.8,0.8,1,2
0.000344585907391726,84.31,0.864796970503653,0.15,0.8,0.8,1,2
0.000343915291862951,84.39,0.864299937013748,0.16,0.8,0.8,1,2
0.000343220800390454,84.47,0.863783559812201,0.17,0.8,0.8,1,2
0.00034250140695824,84.56,0.863246823737306,0.18,0.8,0.8,1,2
0.000341755747340022,84.65,0.862688649584303,0.19,0.8,0.8,1,2
0.000340982580313898,84.72,0.862107889964277,0.2,0.8,0.8,1,2
0.0003401806130926,84.83,0.861503324571643,0.21,0.8,0.8,1,2
0.000339348333275868,84.93,0.860873655172887,0.22,0.8,0.8,1,2
0.000338484193652733,85.03,0.860217500670976,0.23,0.8,0.8,1,2
0.000337586613895602,85.14,0.859533391111643,0.24,0.8,0.8,1,2
0.000336653860869451,85.25,0.858819762449804,0.25,0.8,0.8,1,2
0.000335684137696524,85.36,0.858074948877721,0.26,0.8,0.8,1,2
0.000334675498866399,85.48,0.857297178194932,0.27,0.8,0.8,1,2
0.000333625889091749,85.6,0.856484564731416,0.28,0.8,0.8,1,2
0.000332533218106168,85.73,0.855635101194867,0.29,0.8,0.8,1,2
0.000331395122573575,85.87,0.854746653527783,0.3,0.8,0.8,1,2
0.00033020926385563,86.01,0.853816951698327,0.31,0.8,0.8,1,2
0.000328973109498421,86.15,0.852843583742224,0.32,0.8,0.8,1,2
0.000327683867467732,86.3,0.851823988367575,0.33,0.8,0.8,1,2
0.000326338800707815,86.46,0.850755448151772,0.34,0.8,0.8,1,2
0.000324934897695084,86.63,0.849635083223196,0.35,0.8,0.8,1,2
0.000323468944049443,86.8,0.848459845687494,0.36,0.8,0.8,1,2
0.000321937772387371,86.99,0.847226515121825,0.37,0.8,0.8,1,2
0.000320337841997753,87.18,0.845931695539181,0.38,0.8,0.8,1,2
0.000318665548236952,87.38,0.844571814315579,0.39,0.8,0.8,1,2
0.000316917478305034,87.59,0.843143358137356,0.4,0.8,0.8,1,2
0.000315088692685983,87.82,0.841641705504534,0.41,0.8,0.8,1,2
0.000313176285349159,88.05,0.840063480230345,0.42,0.8,0.8,1,2
0.000311175641811046,88.3,0.838404221018228,0.43,0.8,0.8,1,2
0.000309082632583724,88.56,0.836659574276335,0.44,0.8,0.8,1,2
0.000306892967348482,88.83,0.834825088000395,0.45,0.8,0.8,1,2
0.000304602354233796,89.12,0.832896249512602,0.46,0.8,0.8,1,2
0.0003022065982905,89.43,0.830868534389276,0.47,0.8,0.8,1,2
0.000299701535411367,89.76,0.828737468530701,0.48,0.8,0.8,1,2
0.00029708339512835,90.1,0.826498705440387,0.49,0.8,0.8,1,2
0.000294348451344018,90.47,0.82414812080442,0.5,0.8,0.8,1,2
0.000291493639773599,90.85,0.821681926341858,0.51,0.8,0.8,1,2
0.000288516400644034,91.27,0.819096804568956,0.52,0.8,0.8,1,2
0.000285414869232614,91.71,0.816390065495607,0.53,0.8,0.8,1,2
0.000282188193327648,92.18,0.81355982524947,0.54,0.8,0.8,1,2
0.000278836737226451,92.67,0.810605205097033,0.55,0.8,0.8,1,2
0.000275362175125804,93.21,0.807526547178011,0.56,0.8,0.8,1,2
0.000271767919313992,93.77,0.804325640406477,0.57,0.8,0.8,1,2
0.000268059307664659,94.38,0.801005946397135,0.58,0.8,0.8,1,2
0.000264243814511178,95.03,0.797572810946412,0.59,0.8,0.8,1,2
0.000260331395155577,95.72,0.794033641916034,0.6,0.8,0.8,1,2
0.000256334553252191,96.46,0.790398029583624,0.61,0.8,0.8,1,2
0.000252268481065354,97.25,0.786677781594045,0.62,0.8,0.8,1,2
0.000248151005813713,98.1,0.782886842538754,0.63,0.8,0.8,1,2
0.000244002462329695,99,0.779041069281313,0.64,0.8,0.8,1,2
0.000239845201010447,99.96,0.77515783891044,0.65,0.8,0.8,1,2
0.000235703086123806,100.98,0.771255477839689,0.66,0.8,0.8,1,2
0.00023160066794814,102.07,0.767352518612754,0.67,0.8,0.8,1,2
0.000227562088714883,103.22,0.763466814652337,0.68,0.8,0.8,1,2
0.000223610039300048,104.45,0.759614570002762,0.69,0.8,0.8,1,2
0.000219764320458282,105.74,0.755809366688424,0.7,0.8,0.8,1,2
0.000216040787160976,107.1,0.752061290876525,0.71,0.8,0.8,1,2
0.000212450333815561,108.52,0.748376264633875,0.72,0.8,0.8,1,2
0.000208998087089129,110.01,0.744755678279373,0.73,0.8,0.8,1,2
0.000205683344667029,111.57,0.741196388042461,0.74,0.8,0.8,1,2
0.00020249970140962,113.19,0.737691098209521,0.75,0.8,0.8,1,2
0.000199435889454813,114.88,0.734229093632952,0.76,0.8,0.8,1,2
0.000196476989172301,116.62,0.730797237447571,0.77,0.8,0.8,1,2
0.000193605758327331,118.42,0.727381110242725,0.78,0.8,0.8,1,2
0.000190804344625539,120.29,0.72396614853635,0.79,0.8,0.8,1,2
0.000188055597269476,122.21,0.720538645856818,0.8,0.8,0.8,1,2
0.000185344258961662,124.19,0.717086508095524,0.81,0.8,0.8,1,2
0.000182657762383076,126.24,0.713599700841297,0.82,0.8,0.8,1,2
0.000179986434534263,128.35,0.710070381555823,0.83,0.8,0.8,1,2
0.000177323525422879,130.52,0.706492762871938,0.84,0.8,0.8,1,2
0.000174664707170591,132.75,0.702862793632248,0.85,0.8,0.8,1,2
0.000172007578971123,135.06,0.699177762320726,0.86,0.8,0.8,1,2
0.000169351069010892,137.43,0.695435919599896,0.87,0.8,0.8,1,2
0.000166694959084002,139.88,0.691636187235707,0.88,0.8,0.8,1,2
0.000164039592611576,142.39,0.687777981882077,0.89,0.8,0.8,1,2
0.000161385644073642,144.99,0.683861148950896,0.9,0.8,0.8,1,2
0.000158734094462154,147.66,0.679885984452249,0.91,0.8,0.8,1,2
0.000156086245457598,150.4,0.675853322568031,0.92,0.8,0.8,1,2
0.000153443791833796,153.23,0.671764677167574,0.93,0.8,0.8,1,2
0.000150808927113666,156.14,0.667622438728468,0.94,0.8,0.8,1,2
0.000148184543553309,159.13,0.663430140402227,0.95,0.8,0.8,1,2
0.00014557446889224,162.2,0.659192819269643,0.96,0.8,0.8,1,2
0.000142983840424438,165.36,0.654917514840448,0.97,0.8,0.8,1,2
0.00014041963352257,168.59,0.650613970566262,0.98,0.8,0.8,1,2
0.000137891471763962,171.9,0.646295653581752,0.99,0.8,0.8,1,2
0.000362020924887352,83.39,0.894403836041286,0,0.8,0.8,1.2,3
0.000361711474129889,83.44,0.894401956046017,0.01,0.8,0.8,1.2,3
0.000361392615394085,83.49,0.894399317210794,0.02,0.8,0.8,1.2,3
0.00036106393193458,83.55,0.894395849417269,0.03,0.8,0.8,1.2,3
0.000360725104299409,83.6,0.894391476212052,0.04,0.8,0.8,1.2,3
0.000360375540257696,83.66,0.894386114195652,0.05,0.8,0.8,1.2,3
0.000360014814314358,83.72,0.89437967234795,0.06,0.8,0.8,1.2,3
0.000359642467797239,83.78,0.8943720512835,0.07,0.8,0.8,1.2,3
0.00035925796944597,83.84,0.894363142428429,0.08,0.8,0.8,1.2,3
0.000358860707550146,83.9,0.89435282711095,0.09,0.8,0.8,1.2,3
0.000358450099228247,83.97,0.894340975555139,0.1,0.8,0.8,1.2,3
0.00035802550676084,84.04,0.894327445767757,0.11,0.8,0.8,1.2,3
0.000357586333073867,84.11,0.894312082305911,0.12,0.8,0.8,1.2,3
0.00035713187441172,84.18,0.894294714912486,0.13,0.8,0.8,1.2,3
0.000356661308030581,84.25,0.894275157004191,0.14,0.8,0.8,1.2,3
0.000356173903392432,84.33,0.894253203996391,0.15,0.8,0.8,1.2,3
0.000355668791732489,84.41,0.894228631445917,0.16,0.8,0.8,1.2,3
0.0003551450889267,84.49,0.89420119298783,0.17,0.8,0.8,1.2,3
0.00035460187166042,84.58,0.894170618069579,0.18,0.8,0.8,1.2,3
0.000354038109306953,84.67,0.89413660939517,0.19,0.8,0.8,1.2,3
0.000353452775051499,84.74,0.894098840131385,0.2,0.8,0.8,1.2,3
0.000352844736077551,84.85,0.894056950790209,0.21,0.8,0.8,1.2,3
0.000352212769860638,84.95,0.894010545772349,0.22,0.8,0.8,1.2,3
0.000351555551148797,85.05,0.893959189569093,0.23,0.8,0.8,1.2,3
0.000350871827207333,85.16,0.893902402491591,0.24,0.8,0.8,1.2,3
0.000350160043894543,85.27,0.893839656038797,0.25,0.8,0.8,1.2,3
0.000349418646158117,85.39,0.893770367567539,0.26,0.8,0.8,1.2,3
0.000348646072361958,85.5,0.893693894732227,0.27,0.8,0.8,1.2,3
0.000347840585951997,85.63,0.893609529141816,0.28,0.8,0.8,1.2,3
0.000347000206679438,85.76,0.893516489263203,0.29,0.8,0.8,1.2,3
0.000346122974941854,85.89,0.893413912992076,0.3,0.8,0.8,1.2,3
0.000345206803442744,86.03,0.893300849033746,0.31,0.8,0.8,1.2,3
0.000344249473892777,86.18,0.893176247879919,0.32,0.8,0.8,1.2,3
0.00034324844221062,86.33,0.893038951789858,0.33,0.8,0.8,1.2,3
0.000342201291693212,86.5,0.8928876839658,0.34,0.8,0.8,1.2,3
0.000341105253706508,86.66,0.892721036878314,0.35,0.8,0.8,1.2,3
0.000339957427710869,86.84,0.892537459757381,0.36,0.8,0.8,1.2,3
0.000338754692933207,87.02,0.892335245296702,0.37,0.8,0.8,1.2,3
0.000337493866226946,87.22,0.892112515663117,0.38,0.8,0.8,1.2,3
0.000336171493387771,87.42,0.891867207960433,0.39,0.8,0.8,1.2,3
0.000334784167046853,87.63,0.891597106298061,0.4,0.8,0.8,1.2,3
0.000333327237223069,87.86,0.891299592304769,0.41,0.8,0.8,1.2,3
0.000331797538845546,88.09,0.890972099969745,0.42,0.8,0.8,1.2,3
0.000330190560653032,88.34,0.890611633002335,0.43,0.8,0.8,1.2,3
0.000328501879679532,88.6,0.890214987886939,0.44,0.8,0.8,1.2,3
0.000326727003235938,88.88,0.889778698189213,0.45,0.8,0.8,1.2,3
0.000324861192409986,89.17,0.889299029849427,0.46,0.8,0.8,1.2,3
0.000322899697509593,89.48,0.888771982091134,0.47,0.8,0.8,1.2,3
0.000320837666384743,89.81,0.88819329582839,0.48,0.8,0.8,1.2,3
0.000318670294696177,90.15,0.887558471806272,0.49,0.8,0.8,1.2,3
0.000316392917181663,90.52,0.886862801059128,0.5,0.8,0.8,1.2,3
0.000314000959382332,90.91,0.88610141058255,0.51,0.8,0.8,1.2,3
0.0003114902420292,91.33,0.885269327337569,0.52,0.8,0.8,1.2,3
0.000308857131971929,91.77,0.884361563759436,0.53,0.8,0.8,1.2,3
0.000306098558072287,92.24,0.8833732277277,0.54,0.8,0.8,1.2,3
0.000303212420635413,92.74,0.882299659342004,0.55,0.8,0.8,1.2,3
0.000300197756465059,93.27,0.881136595683469,0.56,0.8,0.8,1.2,3
0.000297054937540731,93.84,0.879880362864097,0.57,0.8,0.8,1.2,3
0.000293786175683652,94.44,0.87852809192941,0.58,0.8,0.8,1.2,3
0.00029039567443756,95.09,0.877077951494536,0.59,0.8,0.8,1.2,3
0.000286889949521418,95.78,0.87552938536295,0.6,0.8,0.8,1.2,3
0.000283278224748051,96.52,0.873883338092699,0.61,0.8,0.8,1.2,3
0.000279572511592996,97.31,0.872142445941576,0.62,0.8,0.8,1.2,3
0.000275787784833503,98.15,0.870311165812683,0.63,0.8,0.8,1.2,3
0.000271942026704663,99.05,0.868395811888464,0.64,0.8,0.8,1.2,3
0.000268055848846982,100.01,0.866404470132189,0.65,0.8,0.8,1.2,3
0.000264152118379213,101.03,0.864346766267293,0.66,0.8,0.8,1.2,3
0.000260255278952126,102.12,0.862233474349949,0.67,0.8,0.8,1.2,3
0.000256390263956463,103.27,0.860075970792329,0.68,0.8,0.8,1.2,3
0.000252581381679218,104.49,0.857885561318674,0.69,0.8,0.8,1.2,3
0.000248850920368582,105.77,0.855672732669093,0.7,0.8,0.8,1.2,3
0.000245217841886136,107.13,0.853446402134086,0.71,0.8,0.8,1.2,3
0.000241696382611956,108.55,0.851213250721084,0.72,0.8,0.8,1.2,3
0.000238295280035938,110.04,0.84897722523346,0.73,0.8,0.8,1.2,3
0.000235017138400073,111.6,0.846739278515883,0.74,0.8,0.8,1.2,3
0.00023185854702934,113.21,0.844497386934521,0.75,0.8,0.8,1.2,3
0.000228810563073667,114.9,0.842246844835634,0.76,0.8,0.8,1.2,3
0.000225859884533053,116.64,0.839980794840397,0.77,0.8,0.8,1.2,3
0.000222990222629116,118.44,0.837690918495772,0.78,0.8,0.8,1.2,3
0.000220183977859667,120.3,0.835368190621692,0.79,0.8,0.8,1.2,3
0.00021742379128431,122.23,0.833003596375672,0.8,0.8,0.8,1.2,3
0.00021469387408446,124.21,0.830588722974018,0.81,0.8,0.8,1.2,3
0.00021198086714902,126.25,0.828116165490243,0.82,0.8,0.8,1.2,3
0.000209274380050306,128.36,0.825579723011716,0.83,0.8,0.8,1.2,3
0.000206566972936251,130.53,0.822974400525968,0.84,0.8,0.8,1.2,3
0.000203853796891085,132.76,0.820296264971426,0.85,0.8,0.8,1.2,3
0.000201132068552601,135.07,0.817542223228289,0.86,0.8,0.8,1.2,3
0.000198400465608928,137.44,0.81470979091759,0.87,0.8,0.8,1.2,3
0.000195658594349502,139.88,0.811796904908582,0.88,0.8,0.8,1.2,3
0.000192906684404581,142.4,0.808801806843787,0.89,0.8,0.8,1.2,3
0.000190145311483425,144.99,0.80572300062287,0.9,0.8,0.8,1.2,3
0.000187375391943689,147.66,0.802559272277115,0.91,0.8,0.8,1.2,3
0.000184598147692616,150.41,0.799309758513647,0.92,0.8,0.8,1.2,3
0.000181815203346536,153.24,0.795974056435651,0.93,0.8,0.8,1.2,3
0.000179028734098308,156.14,0.792552376037069,0.94,0.8,0.8,1.2,3
0.000176241604182503,159.13,0.789045745911194,0.95,0.8,0.8,1.2,3
0.000173457679980837,162.2,0.785456291619866,0.96,0.8,0.8,1.2,3
0.00017068224309047,165.36,0.781787617868795,0.97,0.8,0.8,1.2,3
0.000167922542063104,168.59,0.778045342472277,0.98,0.8,0.8,1.2,3
0.000165188768454838,171.9,0.774237868613561,0.99,0.8,0.8,1.2,3
0.000358384885307539,79.66,0.855954670842415,0,0.8,1,0.8,4
0.000358049054683451,79.68,0.855510601482631,0.01,0.8,1,0.8,4
0.000357703572825774,79.71,0.855053330070662,0.02,0.8,1,0.8,4
0.000357348190790918,79.73,0.854582316583483,0.03,0.8,1,0.8,4
0.000356982378772241,79.76,0.85409699394731,0.04,0.8,1,0.8,4
0.000356605755091388,79.78,0.853596766506857,0.05,0.8,1,0.8,4
0.000356217957606486,79.81,0.853081008405658,0.06,0.8,1,0.8,4
0.000355818426832688,79.84,0.852549061872269,0.07,0.8,1,0.8,4
0.000355406697345684,79.87,0.852000235408394,0.08,0.8,1,0.8,4
0.000354982269314075,79.9,0.851433801874507,0.09,0.8,1,0.8,4
0.000354544605757789,79.93,0.850848996468591,0.1,0.8,1,0.8,4
0.000354093129567745,79.96,0.850245014594123,0.11,0.8,1,0.8,4
0.000353627220261554,79.99,0.849621009613565,0.12,0.8,1,0.8,4
0.000353146366451285,80.03,0.848976090484183,0.13,0.8,1,0.8,4
0.000352649783565306,80.06,0.848309319273536,0.14,0.8,1,0.8,4
0.000352136849977758,80.1,0.847619708552981,0.15,0.8,1,0.8,4
0.000351606752726441,80.14,0.846906218668413,0.16,0.8,1,0.8,4
0.00035105884226011,80.17,0.846167754746265,0.17,0.8,1,0.8,4
0.00035049224802286,80.21,0.845403164332735,0.18,0.8,1,0.8,4
0.000349906098267294,80.25,0.844611233322295,0.19,0.8,1,0.8,4
0.000349299563172256,80.28,0.84379068353771,0.2,0.8,1,0.8,4
0.000348671633312425,80.34,0.842940169076976,0.21,0.8,1,0.8,4
0.000348021271401711,80.38,0.842058272913911,0.22,0.8,1,0.8,4
0.00034734759850924,80.43,0.841143504013742,0.23,0.8,1,0.8,4
0.000346649359146189,80.48,0.840194293095063,0.24,0.8,1,0.8,4
0.000345925434475369,80.53,0.839208990170877,0.25,0.8,1,0.8,4
0.00034517459816058,80.58,0.838185858707451,0.26,0.8,1,0.8,4
